emotion,word
trust,abacus
fear,abandon
anger,abandoned
anger,abandonment
trust,abbot
fear,abduction
disgust,aberration
anger,abhor
anger,abhorrent
disgust,abject
disgust,abnormal
anger,abolish
disgust,abominable
anger,abomination
disgust,abortion
sadness,abortive
surprise,abrupt
sadness,abscess
fear,absence
sadness,absent
sadness,absentee
joy,absolution
anticipation,abundance
joy,abundant
anger,abuse
sadness,abysmal
fear,abyss
trust,academic
anticipation,accelerate
fear,accident
fear,accidental
surprise,accidentally
anticipation,accolade
anticipation,accompaniment
joy,accomplish
joy,accomplished
trust,accord
trust,account
trust,accountability
trust,accountable
trust,accountant
trust,accounts
trust,accredited
trust,accurate
anger,accursed
anger,accusation
anger,accused
anger,accuser
anger,accusing
sadness,ache
joy,achieve
anticipation,achievement
sadness,aching
anticipation,acquiring
fear,acrobat
anger,actionable
anger,adder
anticipation,addresses
trust,adhering
fear,adjudicate
trust,administrative
joy,admirable
trust,admiral
joy,admiration
trust,admire
trust,admissible
fear,admonition
joy,adorable
joy,adoration
anticipation,adore
anticipation,adrift
disgust,adultery
anticipation,advance
anticipation,advent
anticipation,adventure
anger,adversary
anger,adverse
anger,adversity
trust,advice
trust,advisable
trust,advise
trust,advised
trust,adviser
anger,advocacy
trust,advocate
joy,aesthetics
joy,affection
trust,affirm
trust,affirmatively
fear,afflict
disgust,affliction
joy,affluence
anger,affront
fear,afraid
anger,aftermath
fear,aga
anger,aggravated
anger,aggravating
anger,aggravation
anger,aggression
anger,aggressive
anger,aggressor
disgust,aghast
anger,agitated
anger,agitation
fear,agonizing
anger,agony
trust,agreeable
trust,agreed
trust,agreeing
trust,agreement
sadness,ail
fear,ailing
anticipation,airport
disgust,airs
trust,akin
fear,alarm
fear,alarming
trust,alb
anger,alcoholism
anticipation,alertness
anticipation,alerts
disgust,alien
anger,alienate
sadness,alienated
anger,alienation
anticipation,alive
anger,allegation
trust,allegiance
trust,alliance
trust,allied
anticipation,allure
trust,ally
anticipation,aloha
anger,altercation
surprise,amaze
joy,amazingly
trust,ambassador
anticipation,ambition
fear,ambulance
anger,ambush
joy,amen
joy,amicable
disgust,ammonia
joy,amnesty
trust,amortization
anticipation,amour
disgust,amphetamines
joy,amuse
joy,amused
joy,amusement
joy,amusing
disgust,anaconda
anticipation,analyst
anger,anarchism
anger,anarchist
anger,anarchy
anger,anathema
trust,ancestral
sadness,anchorage
anticipation,angel
joy,angelic
anger,anger
fear,angina
anticipation,angling
anger,angry
anger,anguish
joy,animated
anger,animosity
anger,animus
anger,annihilate
anger,annihilated
anger,annihilation
anticipation,announcement
anger,annoy
anger,annoyance
anger,annoying
sadness,annulment
fear,anomaly
trust,answerable
anger,antagonism
anger,antagonist
anger,antagonistic
disgust,anthrax
anger,antichrist
anticipation,anticipation
anticipation,anticipatory
anticipation,antidote
trust,antifungal
anger,antipathy
trust,antiseptic
anger,antisocial
anger,antithesis
anger,anxiety
anticipation,anxious
fear,apache
sadness,apathetic
sadness,apathy
disgust,aphid
trust,apologetic
sadness,apologize
trust,apostle
trust,apostolic
disgust,appalling
fear,apparition
anticipation,appeal
fear,appendicitis
joy,applause
anticipation,applicant
joy,appreciation
fear,apprehend
fear,apprehension
anticipation,apprehensive
trust,apprentice
anticipation,approaching
trust,approbation
joy,approve
trust,arbiter
anticipation,arbitration
trust,arbitrator
anticipation,archaeology
trust,architecture
anticipation,ardent
anger,argue
anger,argument
anger,argumentation
anger,arguments
sadness,arid
anger,armament
fear,armaments
anger,armed
fear,armor
fear,armored
trust,armory
anticipation,arouse
anger,arraignment
anticipation,arrival
anticipation,arrive
anger,arrogant
disgust,arsenic
anger,arson
anticipation,art
fear,artillery
disgust,ashamed
sadness,ashes
fear,asp
anticipation,aspiration
anticipation,aspire
anticipation,aspiring
anger,assail
anger,assailant
anger,assassin
anger,assassinate
anger,assassination
anger,assault
trust,assembly
trust,asserting
surprise,assessment
trust,assessor
anger,asshole
trust,assignee
trust,assist
trust,associate
trust,association
trust,assurance
trust,assure
trust,assured
trust,assuredly
surprise,astonishingly
joy,astonishment
fear,astray
anticipation,astrologer
anticipation,astronomer
fear,asylum
disgust,asymmetry
fear,atherosclerosis
anticipation,atone
anger,atrocious
anger,atrocity
disgust,atrophy
anger,attack
anger,attacking
anticipation,attainable
anticipation,attempt
anticipation,attendance
trust,attendant
trust,attentive
sadness,attenuation
trust,attest
trust,attestation
anger,attorney
anticipation,auction
anticipation,audience
fear,auditor
trust,aunt
anticipation,auspicious
fear,austere
joy,authentic
trust,authenticate
trust,authentication
trust,authenticity
trust,author
trust,authoritative
trust,authority
trust,authorization
trust,authorize
trust,automatic
disgust,autopsy
fear,avalanche
anger,avarice
anger,avenger
anger,averse
anger,aversion
fear,avoid
fear,avoidance
fear,avoiding
anticipation,await
anticipation,award
anger,awful
disgust,awkwardness
trust,axiom
trust,axiomatic
disgust,baboon
joy,baby
trust,babysitter
anger,backbone
trust,backer
disgust,backwards
sadness,backwater
disgust,bacteria
disgust,bacterium
anger,bad
trust,badge
anger,badger
sadness,badly
anger,badness
fear,bailiff
fear,bait
fear,bale
anticipation,ballot
anticipation,balm
anger,bane
anger,bang
anger,banger
anger,banish
anger,banished
anger,banishment
trust,bank
trust,banker
fear,bankrupt
anger,bankruptcy
anticipation,banquet
anger,banshee
joy,baptismal
anger,barb
fear,barbarian
anger,barbaric
disgust,barf
trust,bargain
anger,bark
sadness,barren
fear,barricade
anger,barrier
disgust,barrow
trust,bartender
trust,barter
trust,base
anticipation,basketball
disgust,bastard
anger,bastion
anger,battalion
anger,batter
fear,battered
anger,battery
anger,battle
anger,battled
fear,battlefield
anger,bayonet
joy,beach
joy,beam
anticipation,beaming
anger,bear
anger,bearish
anger,beast
disgust,beastly
anger,beating
joy,beautification
joy,beautiful
joy,beautify
joy,beauty
trust,bedrock
anger,bee
joy,beer
joy,befriend
sadness,beg
sadness,beggar
anticipation,begun
fear,behemoth
trust,believed
trust,believer
trust,believing
anger,belittle
anger,belligerent
anger,bellows
anger,belt
trust,benefactor
joy,benevolence
joy,benign
trust,bequest
sadness,bereaved
sadness,bereavement
anger,berserk
disgust,bestial
anger,betray
anger,betrayal
anticipation,betrothed
anticipation,beware
fear,bewildered
fear,bewilderment
anger,bias
anger,bickering
anticipation,biennial
fear,bier
anger,bigot
anger,bigoted
anger,bile
fear,biopsy
anger,birch
anticipation,birth
anticipation,birthday
anger,birthplace
anger,bitch
anger,bitterly
anger,bitterness
surprise,bizarre
sadness,black
anger,blackmail
fear,blackness
anger,blame
trust,blanket
anger,blasphemous
anger,blasphemy
anger,blast
anger,blatant
anger,blaze
sadness,bleak
disgust,bleeding
anger,blemish
anticipation,bless
joy,blessed
anticipation,blessing
anticipation,blessings
disgust,blight
disgust,blighted
anticipation,blindfold
sadness,blindly
sadness,blindness
joy,bliss
joy,blissful
disgust,blister
surprise,blitz
disgust,bloated
disgust,blob
anger,blockade
anger,bloodshed
anger,bloodthirsty
anger,bloody
anticipation,bloom
joy,blossom
sadness,blue
fear,blues
disgust,blunder
anticipation,board
trust,bodyguard
anger,bogus
disgust,boil
anger,boisterous
anger,bomb
anger,bombard
anger,bombardment
disgust,bombed
fear,bomber
joy,bonanza
fear,bondage
anticipation,bonus
anticipation,boomerang
sadness,boredom
anger,bothering
sadness,bottom
fear,bottomless
anticipation,bountiful
anticipation,bounty
joy,bouquet
anger,bout
disgust,bovine
disgust,bowels
anger,boxing
disgust,boy
disgust,bran
anger,brawl
anger,brazen
surprise,break
sadness,breakup
disgust,bribery
anticipation,bridal
anticipation,bride
anticipation,bridegroom
joy,bridesmaid
fear,brigade
joy,brighten
anticipation,brilliant
anger,brimstone
anticipation,broadside
anger,broil
fear,broke
anger,broken
disgust,brothel
trust,brother
trust,brotherhood
anticipation,brotherly
anticipation,bruise
anger,brunt
anger,brutal
anger,brutality
anger,brute
fear,buck
anticipation,buddy
trust,budget
anger,buffet
disgust,bug
anger,bugaboo
anticipation,bugle
anger,bully
disgust,bum
anger,bummer
fear,bunker
fear,burdensome
trust,bureaucracy
disgust,bureaucrat
disgust,burglar
anger,burial
fear,buried
anger,burke
surprise,burlesque
disgust,burnt
trust,bursary
sadness,bury
joy,buss
anger,busted
anger,butcher
trust,butler
anticipation,buzz
anticipation,bye
trust,bylaw
fear,cabal
trust,cabinet
